00:49.848  render           | Rendering frame 36
00:49.849  render           | Start rendering: Scene, ViewLayer
00:49.849  render           | Engine: EEVEE
00:50.034  render           | Fra: 36 | Rendering 1 / 64 samples
00:50.510  render           | Fra: 36 | Rendering 25 / 64 samples
00:50.955  render           | Fra: 36 | Rendering 50 / 64 samples
00:51.231  render           | Fra: 36 | Rendering 64 / 64 samples
00:51.468  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0036.png'
00:51.468  render           | Time: 00:01.61 (Saving: 00:00.15)
00:51.468  render           | Rendering frame 37
00:51.470  render           | Start rendering: Scene, ViewLayer
00:51.470  render           | Engine: EEVEE
00:51.729  render           | Fra: 37 | Rendering 1 / 64 samples
00:52.209  render           | Fra: 37 | Rendering 25 / 64 samples
00:52.699  render           | Fra: 37 | Rendering 50 / 64 samples
00:52.980  render           | Fra: 37 | Rendering 64 / 64 samples
00:53.232  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0037.png'
00:53.233  render           | Time: 00:01.76 (Saving: 00:00.18)
00:53.234  render           | Rendering frame 38
00:53.248  render           | Start rendering: Scene, ViewLayer
00:53.248  render           | Engine: EEVEE
00:53.878  render           | Fra: 38 | Rendering 1 / 64 samples
00:54.371  render           | Fra: 38 | Rendering 25 / 64 samples
00:54.853  render           | Fra: 38 | Rendering 50 / 64 samples
00:55.119  render           | Fra: 38 | Rendering 64 / 64 samples
00:55.430  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0038.png'
00:55.431  render           | Time: 00:02.18 (Saving: 00:00.24)
00:55.431  render           | Rendering frame 39
00:55.445  render           | Start rendering: Scene, ViewLayer
00:55.445  render           | Engine: EEVEE
00:55.939  render           | Fra: 39 | Rendering 1 / 64 samples
00:56.551  render           | Fra: 39 | Rendering 25 / 64 samples
00:57.177  render           | Fra: 39 | Rendering 50 / 64 samples
00:57.517  render           | Fra: 39 | Rendering 64 / 64 samples
00:57.802  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0039.png'
00:57.803  render           | Time: 00:02.35 (Saving: 00:00.21)
00:57.804  render           | Rendering frame 40
00:57.814  render           | Start rendering: Scene, ViewLayer
00:57.814  render           | Engine: EEVEE
00:58.422  render           | Fra: 40 | Rendering 1 / 64 samples
00:59.039  render           | Fra: 40 | Rendering 25 / 64 samples
00:59.719  render           | Fra: 40 | Rendering 50 / 64 samples
